epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
77,863.416,0.89575,0.97154,0.75828,0.00624,0.341,0.81358,0.56021,0.61396,0.47067,0.80979,0.5478,0.59205,0.38073,1.25357,1.2905,2.09802,0.00771,0,0.000275084,0.000275084,0.000275084
78,874.308,0.8899,0.98699,0.75285,0.00613,0.31946,0.84754,0.516,0.61504,0.46552,0.84754,0.516,0.61879,0.38533,1.24959,1.32002,2.02094,0.00763,0,0.000264085,0.000264085,0.000264085
79,885.296,0.8778,0.9313,0.75012,0.00611,0.32641,0.44812,0.74218,0.67494,0.52355,0.47341,0.7608,0.6962,0.43184,1.23902,1.41517,1.92571,0.00755,0,0.000253086,0.000253086,0.000253086
80,896.249,0.86931,1.00765,0.74794,0.00571,0.33283,0.82988,0.5125,0.66688,0.45651,0.86769,0.525,0.68927,0.39796,1.40945,1.46791,2.01423,0.00873,0,0.000242087,0.000242087,0.000242087
81,907.269,0.86272,0.97709,0.70219,0.00643,0.32218,0.80808,0.525,0.6278,0.46676,0.79979,0.50625,0.61339,0.38446,1.31478,1.37141,2.1792,0.00781,0,0.000231088,0.000231088,0.000231088
82,918.063,0.8982,0.96536,0.72639,0.00621,0.32149,0.8378,0.52433,0.62008,0.46446,0.86295,0.53683,0.63929,0.41541,1.21664,1.3305,2.1586,0.00715,0,0.000220089,0.000220089,0.000220089
83,929.038,0.8809,0.94481,0.71567,0.00619,0.32134,0.83075,0.525,0.63914,0.48395,0.85602,0.53734,0.65195,0.37884,1.17297,1.33953,2.01299,0.00706,0,0.00020909,0.00020909,0.00020909
84,939.957,0.86266,0.91052,0.66801,0.00612,0.3002,0.81043,0.51886,0.65541,0.47679,0.8371,0.53088,0.67265,0.38541,1.27582,1.3681,2.17679,0.00776,0,0.000198091,0.000198091,0.000198091
85,950.906,0.88065,0.92292,0.72136,0.00607,0.30817,0.80059,0.5375,0.62274,0.44756,0.82229,0.55,0.64079,0.38205,1.30538,1.35079,2.10881,0.00812,0,0.000187092,0.000187092,0.000187092
86,961.888,0.81971,0.92148,0.63364,0.00566,0.28558,0.80755,0.525,0.61863,0.45426,0.83288,0.53413,0.63226,0.37619,1.25059,1.42197,2.1345,0.00752,0,0.000176094,0.000176094,0.000176094
87,972.87,0.87489,0.98108,0.68157,0.00572,0.32762,0.78355,0.533,0.77607,0.55964,0.80523,0.54461,0.78623,0.42026,1.29676,1.45571,2.16599,0.00775,0,0.000165095,0.000165095,0.000165095
88,983.762,0.82346,0.94004,0.64921,0.00575,0.27064,0.49279,0.81875,0.77639,0.54454,0.52049,0.83125,0.78838,0.44526,1.28833,1.48473,2.13637,0.00771,0,0.000154096,0.000154096,0.000154096
89,994.714,0.83707,0.8565,0.66228,0.00583,0.28218,0.79481,0.5375,0.65219,0.45676,0.46759,0.8,0.63411,0.3787,1.36391,1.4052,2.07338,0.00836,0,0.000143097,0.000143097,0.000143097
90,1005.61,0.82499,0.90931,0.67555,0.00549,0.27725,0.84145,0.50091,0.77117,0.56279,0.86514,0.51341,0.78998,0.41928,1.39812,1.40248,2.22297,0.00844,0,0.000132098,0.000132098,0.000132098
91,1024.52,0.83311,0.80303,0.64737,0.00796,0.20759,0.82273,0.48809,0.77291,0.54878,0.84558,0.50041,0.79315,0.41446,1.31763,1.38801,2.30356,0.00779,0,0.000121099,0.000121099,0.000121099
92,1035.55,0.82287,0.82416,0.62406,0.00781,0.18583,0.82832,0.52011,0.77634,0.5418,0.85255,0.53221,0.79888,0.41964,1.30275,1.40519,2.31861,0.00785,0,0.0001101,0.0001101,0.0001101
93,1046.53,0.80176,0.78221,0.6034,0.00783,0.18593,0.8054,0.5375,0.61924,0.4456,0.8054,0.5375,0.61797,0.36743,1.27769,1.43229,2.20083,0.00775,0,9.91012e-05,9.91012e-05,9.91012e-05
94,1057.59,0.79421,0.85272,0.59431,0.00716,0.17928,0.81969,0.5375,0.66037,0.46266,0.8272,0.54642,0.6636,0.358,1.28445,1.43326,2.16438,0.00781,0,8.81023e-05,8.81023e-05,8.81023e-05
95,1068.67,0.79865,0.80949,0.56655,0.00741,0.17344,0.82638,0.5375,0.65716,0.45398,0.82638,0.5375,0.66223,0.37669,1.35006,1.45647,2.19793,0.00819,0,7.71034e-05,7.71034e-05,7.71034e-05
96,1079.65,0.79022,0.8433,0.56989,0.00718,0.17108,0.83418,0.5375,0.62108,0.44599,0.83418,0.5375,0.62178,0.37301,1.39934,1.44055,2.09523,0.00866,0,6.61045e-05,6.61045e-05,6.61045e-05
97,1090.64,0.81167,0.82286,0.58854,0.00734,0.19018,0.82799,0.5375,0.61594,0.44538,0.82799,0.5375,0.61665,0.36894,1.37395,1.44636,2.1292,0.00851,0,5.51056e-05,5.51056e-05,5.51056e-05
98,1101.58,0.78933,0.83898,0.59157,0.00732,0.1791,0.82887,0.5375,0.62377,0.44324,0.82887,0.5375,0.62467,0.37222,1.32523,1.48797,2.15842,0.00814,0,4.41067e-05,4.41067e-05,4.41067e-05
99,1112.52,0.76702,0.78832,0.56404,0.00686,0.17773,0.80858,0.5375,0.62547,0.44484,0.80858,0.5375,0.62632,0.37326,1.34337,1.47342,2.13489,0.00826,0,3.31078e-05,3.31078e-05,3.31078e-05
100,1123.54,0.77549,0.81528,0.56233,0.00703,0.17098,0.78982,0.537,0.62595,0.44462,0.78982,0.537,0.62688,0.37114,1.354,1.46629,2.12977,0.0083,0,2.21089e-05,2.21089e-05,2.21089e-05
